"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","ANO"
"1","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,35,290,"tec","Provável",4.01,9.77,-0.29,3.67,"Goiás",2019
"2","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,35,277,"mei","Provável",0,4.71,-2.53,2.25,"Santos",2019
"3","Alecsandro Barbosa Felisbino","alecsandro","Alecsandro","https://s.glbimg.com/es/sde/f/2019/08/16/4a2c1f65c81e89225ad8cbc89dbf310c_FORMATO.png",37673,35,341,"ata","Contundido",0,4.54,0,1.13,"CSA",2019
"4","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,35,314,"zag","Contundido",0,3.97,0,1.91,"Avaí",2019
"5","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,35,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",2019
"6","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,35,275,"mei","Dúvida",0,7.04,0,2.74,"Palmeiras",2019
"7","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,35,283,"gol","Provável",1,10.46,-0.39,3.79,"Cruzeiro",2019
"8","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,35,275,"tec","Provável",-0.62,9.64,-0.63,3.81,"Palmeiras",2019
"9","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,35,293,"lat","Nulo",5,6.27,-1.03,4.43,"Athlético-PR",2019
"10","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,35,290,"ata","Provável",7.4,4.74,0.48,1.81,"Goiás",2019
"11","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,35,263,"mei","Provável",1.6,11.27,0.07,2.77,"Botafogo",2019
"12","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,35,283,"mei","Provável",1.8,8.83,-0.68,4.34,"Cruzeiro",2019
"13","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png",38315,35,264,"mei","Nulo",4,3.37,0.51,0.16,"Corinthians",2019
"14","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,35,263,"gol","Nulo",0,6.16,0,6.02,"Botafogo",2019
"15","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,35,275,"gol","Provável",0,6.94,0,4.5,"Palmeiras",2019
"16","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,35,356,"ata","Provável",3.3,11.63,0.53,5.01,"Fortaleza",2019
"17","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,35,293,"zag","Provável",7.8,2.91,0.14,2.43,"Athlético-PR",2019
"18","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,35,293,"lat","Nulo",6,9.72,0.42,3.04,"Athlético-PR",2019
"19","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,35,283,"mei","Provável",8.9,9.17,0.82,3.32,"Cruzeiro",2019
"20","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,35,315,"mei","Provável",0.5,8.48,-0.13,2.65,"Chapecoense",2019
"21","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,35,283,"lat","Nulo",0,6.12,0,2.69,"Cruzeiro",2019
